orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Mohelnice,velmi nízké,nízké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",311,0.01689941857305874,0.4437299035369775,2022-04-01,0
Olomouc,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,2311,0.013971850741215448,0.40631761142362616,2022-04-01,0
Prostějov,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,999,0.010208669705082876,0.4444444444444444,2022-04-01,0
Přerov,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,714,0.008953314858239182,0.39355742296918766,2022-04-01,0
Šternberk,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,168,0.006974716652136007,0.5059523809523809,2022-04-01,0
Šumperk,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,898,0.013107001590938945,0.43875278396436523,2022-04-01,0
Uničov,nízké,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,197,0.008811952048667025,0.48223350253807107,2022-04-01,0
Zábřeh,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,237,0.007170736135063992,0.39662447257383965,2022-04-01,0
Bystřice pod Hostýnem,vysoké,nízké,velmi vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,188,0.012348111658456486,0.48936170212765956,2022-04-01,0
Holešov,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,130,0.0060411729169571075,0.36923076923076925,2022-04-01,0
Kroměříž,nízké,střední,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,722,0.01060485884668488,0.42105263157894735,2022-04-01,0
Luhačovice,velmi nízké,velmi nízké,nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,335,0.018042764043733506,0.3850746268656716,2022-04-01,0
Otrokovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,579,0.017043447545037088,0.4162348877374784,2022-04-01,0
Rožnov pod Radhoštěm,velmi nízké,velmi nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,557,0.015894757868903917,0.4488330341113106,2022-04-01,0
Uherské Hradiště,velmi nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1086,0.01211107393777183,0.42357274401473294,2022-04-01,0
Uherský Brod,velmi nízké,velmi nízké,střední,Výrazně méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,540,0.010392609699769052,0.3962962962962963,2022-04-01,0
Valašské Klobouky,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,217,0.009413091571595887,0.4423963133640553,2022-04-01,0
Valašské Meziříčí,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,824,0.01974740575646464,0.38349514563106796,2022-04-01,0
Vizovice,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,208,0.012084592145015106,0.3701923076923077,2022-04-01,0
Vsetín,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,591,0.00907471670300648,0.4703891708967851,2022-04-01,0
Zlín,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1341,0.013550518880793831,0.4161073825503356,2022-04-01,0
Bílovec,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,270,0.010526315789473684,0.3888888888888889,2022-04-01,0
Bohumín,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,363,0.01094098499005365,0.3608815426997245,2022-04-01,0
Bruntál,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",344,0.009534896612894285,0.4127906976744186,2022-04-01,0
Český Těšín,nízké,vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,164,0.006436925975351284,0.4695121951219512,2022-04-01,0
Frenštát pod Radhoštěm,střední,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,198,0.010150722854506305,0.5353535353535354,2022-04-01,0
Frýdek-Místek,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,2349,0.020919235187774405,0.4840357598978289,2022-04-01,0
Frýdlant nad Ostravicí,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,494,0.019653869106823155,0.45951417004048584,2022-04-01,0
Havířov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,922,0.010773797003902873,0.46529284164859,2022-04-01,0
Hlučín,velmi nízké,střední,nízké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,248,0.006099960645415191,0.45564516129032256,2022-04-01,0
Jablunkov,velmi nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,169,0.00745281354736285,0.47928994082840237,2022-04-01,0
Karviná,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",284,0.004601574905214038,0.4014084507042254,2022-04-01,0
Kopřivnice,velmi nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,421,0.010378149188975989,0.3586698337292161,2022-04-01,0
Kravaře,velmi nízké,střední,vysoké,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,66,0.0030983006290489154,0.3181818181818182,2022-04-01,0
Krnov,střední,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,298,0.007488942501005227,0.44966442953020136,2022-04-01,0
Nový Jičín,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,567,0.011632439529778636,0.3950617283950617,2022-04-01,0
Odry,vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,268,0.015827083210299416,0.43283582089552236,2022-04-01,0
Opava,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,1119,0.011125251038953291,0.40303842716711347,2022-04-01,0
Orlová,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,153,0.004154560512667336,0.43137254901960786,2022-04-01,0
Ostrava,velmi vysoké,velmi vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,3512,0.01106762216297641,0.39151480637813213,2022-04-01,0
Rýmařov,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,177,0.011721078074299715,0.4576271186440678,2022-04-01,0
Třinec,velmi nízké,velmi nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,522,0.00958026685264375,0.4329501915708812,2022-04-01,0
Vítkov,velmi vysoké,velmi vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,201,0.015184709526327719,0.4079601990049751,2022-04-01,0
Praha,nízké,střední,velmi nízké,Vzdělávací problémy na míře očekávání,NA,61731,0.04623754010983579,0.399296949668724,2022-04-02,1
Benešov,velmi nízké,nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1569,0.02558082660797261,0.45825366475462076,2022-04-02,1
Beroun,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1397,0.02113880188236718,0.4266284896206156,2022-04-02,1
Brandýs nad Labem-Stará Boleslav,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3673,0.031813536126942335,0.41900353934113804,2022-04-02,1
Čáslav,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,576,0.02227205939215838,0.3784722222222222,2022-04-02,1
Černošice,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4574,0.030035788160357225,0.44075207695671187,2022-04-02,1
Český Brod,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,461,0.021096467142595644,0.48156182212581344,2022-04-02,1
Dobříš,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,421,0.018097407900958602,0.4251781472684085,2022-04-02,1
Hořovice,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,910,0.030017152658662092,0.4164835164835165,2022-04-02,1
Kladno,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2435,0.019315432514972433,0.4357289527720739,2022-04-02,1
Kolín,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2184,0.02587555092175726,0.43315018315018317,2022-04-02,1
Kralupy nad Vltavou,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,985,0.02991738549386466,0.41116751269035534,2022-04-02,1
Kutná Hora,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1462,0.02898033618775769,0.4274965800273598,2022-04-02,1
Lysá nad Labem,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1585,0.058390127095229324,0.47381703470031544,2022-04-02,1
Mělník,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1107,0.024710924594847986,0.44715447154471544,2022-04-02,1
Mladá Boleslav,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4166,0.036865625414804655,0.41694671147383583,2022-04-02,1
Mnichovo Hradiště,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,554,0.030714642124521817,0.42057761732851984,2022-04-02,1
Neratovice,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,593,0.01837904850457152,0.42833052276559863,2022-04-02,1
Nymburk,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,871,0.021508828250401284,0.43283582089552236,2022-04-02,1
Poděbrady,velmi nízké,střední,střední,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,694,0.021979414093428344,0.42795389048991356,2022-04-02,1
Příbram,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1817,0.02595899707121937,0.4160704457897633,2022-04-02,1
Rakovník,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,935,0.01677521215709493,0.4160427807486631,2022-04-02,1
Říčany,nízké,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2175,0.02959787711777914,0.41839080459770117,2022-04-02,1
Sedlčany,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,569,0.02588952588952589,0.46045694200351495,2022-04-02,1
Slaný,velmi vysoké,vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1052,0.025796959293771456,0.4752851711026616,2022-04-02,1
Vlašim,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,436,0.016803484025128147,0.45642201834862384,2022-04-02,1
Votice,nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,178,0.014285714285714285,0.4606741573033708,2022-04-02,1
Blatná,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,321,0.02359600117612467,0.3364485981308411,2022-04-02,1
České Budějovice,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3378,0.02070360382446678,0.4129662522202487,2022-04-02,1
Český Krumlov,střední,velmi vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,1085,0.02617801047120419,0.40276497695852537,2022-04-02,1
Dačice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,124,0.006640959725792631,0.47580645161290325,2022-04-02,1
Jindřichův Hradec,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,566,0.012058460096297243,0.4469964664310954,2022-04-02,1
Kaplice,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,549,0.027625421426055452,0.3861566484517304,2022-04-02,1
Milevsko,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,199,0.010949105914718019,0.4723618090452261,2022-04-02,1
Písek,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",1268,0.02373953906352386,0.4061514195583596,2022-04-02,1
Prachatice,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",777,0.023328429459272826,0.39510939510939513,2022-04-02,1
Soběslav,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,395,0.017985611510791366,0.3670886075949367,2022-04-02,1
Strakonice,vysoké,střední,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,550,0.012221950623319482,0.4163636363636364,2022-04-02,1
Tábor,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1664,0.020673632421821617,0.39783653846153844,2022-04-02,1
Trhové Sviny,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,247,0.012765517597808673,0.5182186234817814,2022-04-02,1
Třeboň,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,510,0.02067372005350845,0.4666666666666667,2022-04-02,1
Týn nad Vltavou,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,216,0.015326757964947138,0.4305555555555556,2022-04-02,1
Vimperk,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",402,0.02300824175824176,0.43532338308457713,2022-04-02,1
Vodňany,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,613,0.05139599228640899,0.3768352365415987,2022-04-02,1
Blovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,195,0.015939185875429134,0.4512820512820513,2022-04-02,1
Domažlice,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,829,0.020487346777382363,0.4294330518697226,2022-04-02,1
Horažďovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,177,0.015357917570498916,0.5028248587570622,2022-04-02,1
Horšovský Týn,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,290,0.01958930018913807,0.3689655172413793,2022-04-02,1
Klatovy,vysoké,nízké,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1123,0.02215427105938055,0.38290293855743546,2022-04-02,1
Kralovice,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,446,0.019831036016007116,0.42376681614349776,2022-04-02,1
Nepomuk,vysoké,střední,nízké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,191,0.016461260018960613,0.44502617801047123,2022-04-02,1
Nýřany,střední,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,851,0.014626768188927657,0.3689776733254994,2022-04-02,1
Plzeň,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,9572,0.04912748922192568,0.3625156707062265,2022-04-02,1
Přeštice,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,378,0.016502946954813358,0.4074074074074074,2022-04-02,1
Rokycany,vysoké,střední,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1113,0.022489846228454808,0.3953279424977538,2022-04-02,1
Stod,velmi vysoké,střední,nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,631,0.02697849416392321,0.4247226624405705,2022-04-02,1
Stříbro,velmi vysoké,velmi vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,466,0.027146685308167308,0.33047210300429186,2022-04-02,1
Sušice,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,490,0.0203843913803145,0.4204081632653061,2022-04-02,1
